area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
seven-hills,396,64,0,86,29,80,28,683,1.48 %,0.0034
shellharbour,647,299,0,81,20,82,43,1172,2.20 %,0.0058
south-coast,445,178,0,72,23,58,38,814,1.70 %,0.004
strathfield,437,70,2,93,12,97,20,731,1.61 %,0.0036
summer-hill,515,172,2,81,21,78,32,901,1.88 %,0.0045
swansea,945,196,4,155,19,64,59,1442,2.99 %,0.0071
sydney,446,106,1,90,19,92,25,779,1.81 %,0.0039
tamworth,486,238,3,46,15,25,20,833,1.69 %,0.0041
terrigal,714,253,1,115,28,53,28,1192,2.41 %,0.0059
the-entrance,918,228,0,164,37,54,37,1438,3.05 %,0.0071
tweed,729,308,9,41,33,59,31,1210,2.64 %,0.006
upper-hunter,449,235,0,96,17,33,25,855,1.79 %,0.0042
vaucluse,374,110,4,58,28,54,7,635,1.40 %,0.0031
wagga-wagga,525,213,2,37,28,39,18,862,1.84 %,0.0043
wakehurst,934,111,5,138,33,59,30,1310,2.74 %,0.0065
wallsend,998,204,3,178,39,56,50,1528,3.04 %,0.0076
willoughby,531,75,0,84,25,72,27,814,1.73 %,0.004
wollondilly,743,254,6,80,32,57,40,1212,2.43 %,0.006
wollongong,763,191,1,92,28,84,48,1207,2.42 %,0.006
wyong,720,199,1,123,32,74,53,1202,2.56 %,0.0059
