area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
monaro,289,120,0,27,15,43,17,511,1.05 %,0.0025
mount-druitt,694,185,9,117,22,88,27,1142,2.50 %,0.0056
mulgoa,898,158,0,178,37,127,49,1447,2.89 %,0.0072
murray,309,165,0,9,20,34,6,543,1.19 %,0.0027
myall-lakes,274,166,2,54,15,17,11,539,1.10 %,0.0027
newcastle,499,124,2,73,14,39,21,772,1.55 %,0.0038
newtown,436,115,0,106,12,83,40,792,1.70 %,0.0039
north-shore,775,190,2,123,30,171,46,1337,2.81 %,0.0066
northern-tablelands,202,142,3,19,8,20,10,404,0.86 %,0.002
oatley,706,190,3,102,44,110,35,1190,2.54 %,0.0059
orange,313,171,4,42,10,31,8,579,1.18 %,0.0029
oxley,238,121,0,50,8,12,4,433,0.91 %,0.0021
parramatta,855,125,4,194,35,178,66,1457,3.08 %,0.0072
penrith,616,174,1,89,24,73,16,993,2.09 %,0.0049
pittwater,810,248,2,108,37,81,32,1318,2.72 %,0.0065
port-macquarie,290,167,5,39,6,36,7,550,1.06 %,0.0027
port-stephens,419,200,5,53,21,37,18,753,1.56 %,0.0037
prospect,1099,202,2,203,29,121,36,1692,3.76 %,0.0084
riverstone,814,189,0,118,40,191,39,1391,2.63 %,0.0069
rockdale,915,172,1,138,32,133,38,1429,3.09 %,0.0071
ryde,851,167,8,112,40,126,28,1332,2.80 %,0.0066
seven-hills,698,110,5,136,41,83,37,1110,2.41 %,0.0055
shellharbour,506,285,4,41,23,49,15,923,1.73 %,0.0046
south-coast,469,220,4,61,28,55,15,852,1.78 %,0.0042
strathfield,701,161,0,166,32,159,40,1259,2.78 %,0.0062
summer-hill,535,221,5,72,17,71,25,946,1.97 %,0.0047
swansea,519,143,0,79,31,37,14,823,1.71 %,0.0041
sydney,621,152,4,158,12,210,31,1188,2.75 %,0.0059
tamworth,284,174,0,15,14,11,11,509,1.03 %,0.0025
terrigal,718,241,1,104,37,74,16,1191,2.41 %,0.0059
the-entrance,580,175,2,107,35,69,25,993,2.10 %,0.0049
tweed,287,137,2,8,13,28,11,486,1.06 %,0.0024
upper-hunter,392,241,5,68,17,41,15,779,1.63 %,0.0039
vaucluse,753,267,7,131,73,162,32,1425,3.14 %,0.007
wagga-wagga,453,242,5,24,18,34,8,784,1.67 %,0.0039
wakehurst,971,146,3,156,54,109,37,1476,3.09 %,0.0073
wallsend,627,138,2,64,25,42,12,910,1.81 %,0.0045
willoughby,780,132,3,151,55,184,41,1346,2.85 %,0.0067
wollondilly,669,230,5,85,25,63,35,1112,2.23 %,0.0055
wollongong,708,212,0,72,20,67,14,1093,2.19 %,0.0054
wyong,662,194,2,69,23,38,18,1006,2.14 %,0.005
