area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
shellharbour,1766,1005,2,212,30,157,74,3246,6.08 %,0.016
south-coast,1639,866,8,227,66,143,71,3020,6.30 %,0.0149
strathfield,458,88,0,105,5,82,28,766,1.69 %,0.0038
summer-hill,398,168,0,59,10,29,23,687,1.43 %,0.0034
swansea,1557,334,0,317,28,90,78,2404,4.98 %,0.0119
sydney,185,29,1,43,7,47,11,323,0.75 %,0.0016
tamworth,4656,2733,17,371,116,164,196,8253,16.73 %,0.0408
terrigal,731,282,2,132,36,58,24,1265,2.56 %,0.0063
the-entrance,1108,327,0,228,34,103,63,1863,3.95 %,0.0092
tweed,768,305,10,80,19,81,36,1299,2.83 %,0.0064
upper-hunter,4063,3151,7,610,163,275,193,8462,17.68 %,0.0418
vaucluse,150,67,0,40,10,25,6,298,0.66 %,0.0015
wagga-wagga,3468,1490,14,240,107,211,114,5644,12.05 %,0.0279
wakehurst,709,121,1,124,17,77,33,1082,2.26 %,0.0053
wallsend,1590,389,10,275,34,106,68,2472,4.91 %,0.0122
willoughby,267,47,1,52,10,39,16,432,0.92 %,0.0021
wollondilly,2080,782,6,275,83,155,109,3490,6.99 %,0.0172
wollongong,1487,443,0,187,34,138,56,2345,4.70 %,0.0116
wyong,1559,405,1,269,17,102,70,2423,5.15 %,0.012
